,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
251,399001.SZ,20191128,9622.1438,9650.2661,9679.9638,9594.3708,9648.3922,-26.2484,-0.272,182766704.0,195281534.5
252,399001.SZ,20191127,9648.3922,9643.1107,9694.2247,9589.2085,9677.2341,-28.8419,-0.298,202544270.0,218102364.3
253,399001.SZ,20191126,9677.2341,9662.4139,9698.5988,9609.73,9626.3556,50.8785,0.5285,217307702.0,228129647.1
254,399001.SZ,20191125,9626.3556,9626.405,9643.2347,9515.3312,9626.9025,-0.5469,-0.0057,225973156.0,245805866.8
255,399001.SZ,20191122,9626.9025,9794.3174,9875.7092,9573.4738,9774.4426,-147.5401,-1.5094,250407622.0,290456655.1
256,399001.SZ,20191121,9774.4426,9772.0332,9818.4876,9733.4402,9809.0476,-34.605,-0.3528,202265375.0,221180440.5
257,399001.SZ,20191120,9809.0476,9885.9043,9908.6252,9796.9534,9889.7537,-80.7061,-0.8161,231112732.0,267401757.6
258,399001.SZ,20191119,9889.7537,9721.013,9889.7537,9711.2892,9715.2746,174.4791,1.7959,226001320.0,262555003.1
259,399001.SZ,20191118,9715.2746,9635.8063,9725.7813,9624.9471,9647.9915,67.2831,0.6974,191948681.0,219544957.0
260,399001.SZ,20191115,9647.9915,9741.9339,9777.686,9647.9915,9746.5606,-98.5691,-1.0113,213505827.0,248495682.8
261,399001.SZ,20191114,9746.5606,9689.9329,9768.6723,9677.7625,9687.8531,58.7075,0.606,205461472.0,236226207.1
262,399001.SZ,20191113,9687.8531,9678.6495,9702.5131,9622.3084,9670.1441,17.709,0.1831,183988235.0,212387993.1
263,399001.SZ,20191112,9670.1441,9675.5607,9699.4161,9570.4433,9680.5745,-10.4304,-0.1077,205975186.0,226458966.3
264,399001.SZ,20191111,9680.5745,9821.406,9821.406,9664.0636,9895.3367,-214.7622,-2.1703,231547111.0,256702534.5
265,399001.SZ,20191108,9895.3367,9985.1968,10008.5143,9890.9963,9917.4871,-22.1504,-0.2233,234124254.0,275554236.9
266,399001.SZ,20191107,9917.4871,9849.96,9939.5322,9835.8913,9860.9748,56.5123,0.5731,216641725.0,243099966.4
267,399001.SZ,20191106,9860.9748,9947.3089,9947.3089,9829.7457,9938.6067,-77.6319,-0.7811,232530713.0,268576983.9
268,399001.SZ,20191105,9938.6067,9885.0231,9982.3398,9847.1989,9868.1332,70.4735,0.7142,238629432.0,277803578.2
269,399001.SZ,20191104,9868.1332,9828.5987,9908.1994,9828.5987,9802.3341,65.7991,0.6713,239041485.0,280703308.4
270,399001.SZ,20191101,9802.3341,9621.8921,9814.6731,9604.3085,9635.3291,167.005,1.7333,225897374.0,259246873.9
271,399001.SZ,20191031,9635.3291,9709.1001,9720.968,9626.9334,9681.5377,-46.2086,-0.4773,242663376.0,269309693.1
272,399001.SZ,20191030,9681.5377,9707.1756,9726.9503,9647.0041,9746.0316,-64.4939,-0.6617,271564715.0,285810800.1
273,399001.SZ,20191029,9746.0316,9812.4819,9818.7441,9746.0316,9801.8744,-55.8428,-0.5697,321608662.0,343687940.2
274,399001.SZ,20191028,9801.8744,9721.6415,9802.146,9704.5325,9660.4403,141.4341,1.4641,299013167.0,321498097.9
275,399001.SZ,20191025,9660.4403,9562.2984,9665.5999,9509.3425,9555.7613,104.679,1.0955,224961819.0,245550683.1
276,399001.SZ,20191024,9555.7613,9570.3301,9598.3308,9495.0052,9567.7488,-11.9875,-0.1253,207222324.0,218608084.4
277,399001.SZ,20191023,9567.7488,9641.8856,9652.0735,9547.5043,9642.0888,-74.34,-0.771,215975821.0,228668699.0
278,399001.SZ,20191022,9642.0888,9582.1145,9642.9346,9558.3644,9553.5729,88.5159,0.9265,207552391.0,226621129.8
279,399001.SZ,20191021,9553.5729,9533.0928,9560.9755,9476.4549,9533.5052,20.0677,0.2105,209913943.0,224397554.7
280,399001.SZ,20191018,9533.5052,9665.8079,9706.3776,9516.7471,9645.3887,-111.8835,-1.16,238042710.0,253797032.8
281,399001.SZ,20191017,9645.3887,9657.0913,9670.6973,9617.0055,9642.0595,3.3292,0.0345,206596230.0,225158089.2
282,399001.SZ,20191016,9642.0595,9678.311,9722.1232,9635.4472,9671.7288,-29.6693,-0.3068,233148157.0,256657323.7
283,399001.SZ,20191015,9671.7288,9759.9538,9759.9538,9658.5114,9786.6378,-114.909,-1.1741,266349452.0,289616552.2
284,399001.SZ,20191014,9786.6378,9753.5822,9840.5891,9725.6772,9666.5828,120.055,1.242,285360084.0,313869068.4
285,399001.SZ,20191011,9666.5828,9656.9823,9704.6768,9583.5183,9638.1016,28.4812,0.2955,243533437.0,273787771.8
286,399001.SZ,20191010,9638.1016,9504.0337,9643.5214,9480.1749,9506.5615,131.5401,1.3837,222069973.0,263405563.3
287,399001.SZ,20191009,9506.5615,9443.4533,9507.0404,9380.5681,9474.7541,31.8074,0.3357,188625868.0,214854317.6
288,399001.SZ,20191008,9474.7541,9474.5717,9556.9588,9468.7437,9446.2382,28.5159,0.3019,189301440.0,221075652.91114
289,399001.SZ,20190930,9446.2382,9544.0163,9581.6414,9446.0428,9548.9601,-102.7219,-1.0757,184042919.0,209905450.2
290,399001.SZ,20190927,9548.9601,9470.535,9574.5027,9467.1534,9464.8358,84.1243,0.8888,214878504.0,244360499.0
291,399001.SZ,20190926,9464.8358,9698.281,9707.9227,9464.8358,9671.0577,-206.2219,-2.1324,287353643.0,321756374.5
292,399001.SZ,20190925,9671.0577,9768.3805,9768.3805,9656.0494,9811.3766,-140.3189,-1.4302,283852938.0,321965929.0
293,399001.SZ,20190924,9811.3766,9783.3899,9896.1807,9761.0339,9781.14,30.2366,0.3091,284060679.0,341844124.6
294,399001.SZ,20190923,9781.14,9853.4727,9853.4727,9703.6621,9881.249,-100.109,-1.0131,271171002.0,308891896.9
295,399001.SZ,20190920,9881.249,9873.9425,9903.6874,9832.3948,9852.196,29.053,0.2949,281060354.0,328529928.9
296,399001.SZ,20190919,9852.196,9786.3989,9852.196,9733.9666,9753.3113,98.8847,1.0139,265117133.0,298277246.7
297,399001.SZ,20190918,9753.3113,9747.9816,9785.617,9701.6373,9722.7974,30.5139,0.3138,255903225.0,287220170.4
298,399001.SZ,20190917,9722.7974,9890.5845,9890.5845,9684.1477,9918.0921,-195.2947,-1.9691,327388465.0,348199841.5
299,399001.SZ,20190916,9918.0921,9952.3255,9962.1538,9877.1107,9919.8038,-1.7117,-0.0173,317119173.0,343855657.6
300,399001.SZ,20190912,9919.8038,9886.2487,9941.1693,9837.2733,9853.7236,66.0802,0.6706,288583120.0,312736694.4
